Nome contoterzista,Cliente,Cascina,Numero cascine,Rivenditore
Pusabren,"Michele Chiarlo SRL,Michele Chiarlo SRL,Michele Chiarlo SRL,Michele Chiarlo SRL,Michele Chiarlo SRL,Azienda Agricola Chiarlo S.S / Asti,Azienda Agricola Chiarlo S.S / Asti,Prunotto / Asti,Prunotto / Asti,Soc. Coop. Pusabren,Soc. Coop. Pusabren,Soc. Coop. Pusabren,Soc. Coop. Pusabren,Michele Chiarlo SRL,Michele Chiarlo SRL,Saracco Pierluigi di Lanata Francesca","Michele Chiarlo SRL - Castelnuovo Calcea,Michele Chiarlo SRL - Agliano,Michele Chiarlo SRL - Montemareto,Michele Chiarlo SRL - Montaldo Scarampi,Michele Chiarlo SRL - Calamandrana,Azienda Agricola Chiarlo S.S / Asti - Agliano,Azienda Agricola Chiarlo S.S / Asti - Monbercelli,Prunotto / Asti - Calliano,Prunotto / Asti - Agliano ,Soc. Coop. Pusabren - Castelnuovo Calcea,Soc. Coop. Pusabren - Canelli,Soc. Coop. Pusabren - San Marzano Oliveto,Soc. Coop. Pusabren - Maranzana Mombaruzzo,Michele Chiarlo SRL - Mirenghi Ugo,Michele Chiarlo SRL - Vigneto la Vespa,Saracco Pierluigi di Lanata Francesca - Lanata",16,"Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese"
La Vite d'Oro,"Azienda Agricola Chiarlo S.S / Alba,Azienda Agricola Chiarlo S.S / Alba,Azienda Agricola Chiarlo S.S / Alba,Prunotto / Alba,Prunotto / Alba,Prunotto / Alba,Prunotto / Alba,Cascina Alberta,Az. Agrivinicola Sylla Sebaste,Az. Agrivinicola Sylla Sebaste,Ca' Rome',Ca' Rome',Azienda Agricola Chiarlo S.S / Alba,Tenute del Vino - La Vite d'Oro,Tenute del Vino - La Vite d'Oro","Azienda Agricola Chiarlo S.S / Alba - Barbaresco,Azienda Agricola Chiarlo S.S / Alba - Cerequio,Azienda Agricola Chiarlo S.S / Alba - Cannubi,Prunotto / Alba - Bussia,Prunotto / Alba - Treiso ,Prunotto / Alba - Borgogno,Prunotto / Alba - Pertinace,Cascina Alberta - Treiso,Az. Agrivinicola Sylla Sebaste - Monrobiolo di Bussia,Az. Agrivinicola Sylla Sebaste - Bricco delle Viole Vergne,Ca' Rome' - Barbaresco,Ca' Rome' - Serralunga,Azienda Agricola Chiarlo S.S / Alba - Perno,Tenute del Vino - La Vite d'Oro - Tirados,Tenute del Vino - La Vite d'Oro - Barolo",15,"Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese"
Terra Viva,"Prunotto / Diano,Prunotto / Diano,Antinori Soc. Agricola ARL,Prunotto / Diano","Prunotto / Diano - Giordano,Prunotto / Diano - Diano Cascina Boschi ,Antinori Soc. Agricola ARL - Serralunga,Prunotto / Diano - Nebbiolo e Arneis",4,"Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese"
Tribulé,"Bussia Soprana di Casiraghi Silvano,Bussia Soprana di Casiraghi Silvano,Bussia Soprana di Casiraghi Silvano,Prunotto / Pian Romualdo","Bussia Soprana di Casiraghi Silvano - Bussia,Bussia Soprana di Casiraghi Silvano - Mosconi,Bussia Soprana di Casiraghi Silvano - Mosconi Nuovo impianto,Prunotto / Pian Romualdo - Pian Romualdo",4,"Aimasso Oscar,Aimasso Oscar,Aimasso Oscar,Agricola Albese"
Gallo Marco,,,0,
Mauro Biondo,,,0,
Assen e Matteo,,,0,
Veglio Fratelli,Paolo Scavino di Enrico Scavino,Paolo Scavino di Enrico Scavino - Serralunga+Pernanno,1,
Loris,,,0,
Proprietario,,,0,
Paolo Porello,,,0,
Castellengo Gianluigi,,,0,
Grattarola,,,0,
Vigneti 360,Tenute del Vino - Vigneti 360,Tenute del Vino - Vigneti 360 - Ponti,1,
