Nome prodotto,Principio attivo,Avversità,N.R.,Unità di misura,Trattamenti,Magazzino,Created
AMYLO-X,"Bacillus amyloliquefaciens, sottospecie  plantarum, ceppo D747",Botrite,15302,Kg,"Prunotto / Diano - Tutte - Tutti + AMYLO-X,Prunotto / Asti - Tutte - Tutti + AMYLO-X,Prunotto / Pian Romualdo - Tutte - Tutti + AMYLO-X,Mauro Sebaste - Tutte - Tutti + AMYLO-X,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + AMYLO-X,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + AMYLO-X,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + AMYLO-X,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + AMYLO-X,Ca' Rome' - Tutte - Tutti + AMYLO-X,Carlin De Paolo - Tutte - Tutti + AMYLO-X,Paolo Scavino di Enrico Scavino - Tutte - Tutti + AMYLO-X,Cascina Alberta - Tutte - Tutti + AMYLO-X,L'Alegra / Vite - Tutte - Tutti + AMYLO-X,Guido Berta - Tutte - Tutti + AMYLO-X,Broccardo SS - Tutte - Tutti + AMYLO-X,Diego Pressenda SS - Tutte - Tutti + AMYLO-X,Antinori Soc. Agricola ARL - Tutte - Tutti + AMYLO-X,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + AMYLO-X,La Cardinala - Tutte - Tutti + AMYLO-X,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + AMYLO-X,La Cardinala - Tutte - Tutti + AMYLO-X,Ferrero Giuseppe - Tutte - Tutti + AMYLO-X,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + AMYLO-X,Prunotto / Alba - Tutte - Tutti + AMYLO-X",,22/3/2020
SERENADE ASO,"Bacillus subtilis, ceppo QST 713 g 1,34 (14,1 g/L)",Botrite,16780,l,Prunotto / Alba - Tutte - Tutti + SERENADE ASO,,22/3/2020
SWITCH,"Cyprodinil 37,50 + Fludioxonil 25%",Botrite,9578,Kg,"Mauro Sebaste - Roncaglie - Tutti + SWITCH,Prunotto / Asti - Agliano  - Tutti + SWITCH",,22/3/2020
TELDOR PLUS ,"Fenhexamid. 42,8% (500 g/l)",Botrite, 05*13084,l,Prunotto / Alba - Tutte - Tutti + TELDOR PLUS ,,22/3/2020
OIKOS,"Azadiractina a 2,40% (= 26,00 g/l)",Cicaline,10305,l,,,22/3/2020
KARATHE ZEON,"Lambda-cialotrina 9,48% (100 g/l)",Cimici,10944,l,La Cardinala - Merlot e Cabernet - Tutti + KARATHE ZEON,,22/3/2020
AGROFERT MB 10-5-14.5 X 25,,Concime,,Kg,"Tenute del Vino - La Vite d'Oro - Barolo - Tutti + AGROFERT MB 10-5-14.5 X 25,Tenute del Vino - Vigneti 360 - Ponti - Tutti + AGROFERT MB 10-5-14.5 X 25,La Cardinala - Pinot nero - Tutti + AGROFERT MB 10-5-14.5 X 25",,22/3/2020
AGROLIG X 22.8 KG,,Concime,,N.,,,22/3/2020
LABIN 8-5-15 ORGANOMIN. X 25       ,,Concime,,Kg,,,22/3/2020
MULTI GRO 17 9 16 LENT CESS X 25,,Concime,,Kg,,,22/3/2020
NPK ORIGINAL GOLD X 25 KG,,Concime,,Kg,,,22/3/2020
POLYSULPHATE 0-0-14  X 25 KG BIO,,Concime,,Kg,,,22/3/2020
PRODIGY UP,,Concime,,Kg,,,22/3/2020
PROGRESS MICRO 6-5-13+2 ILSA X 25,,Concime,,Kg,,,22/3/2020
SOLFATO POTASSICO MAGNES. 30+10 X25,,Concime,,Kg,,,22/3/2020
ISONET L PLUS X 100,"(E,Z)-7,9-Dodecadienyl acetate + (Z)-9-Dodecenyl acetate",Confusione sessuale tignole,12834,N.,,,22/3/2020
RAK 2 MAX (X 252),"miscela di (E,Z)-7,9-dodecadienilacetato e ndodecilacetato puro: 361 mg",Confusione sessuale tignole,15434,N.,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + RAK 2 MAX (X 252),,22/3/2020
GREEN KELAGREEN FE X 1 FE-DTPA 11%,,Fisiopatie,,Kg,,,22/3/2020
LABICUPER,,Fisiopatie,,l,"Tenute del Vino - La Vite d'Oro - Tirados - Tutti + LABICUPER,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + LABICUPER,Tenute del Vino - Vigneti 360 - Ponti - Tutti + LABICUPER,Cascina Alberta - Tutte - Tutti + LABICUPER,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + LABICUPER,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + LABICUPER,Tenute del Vino - Vigneti 360 - Tutte - Tutti + LABICUPER,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + LABICUPER",,22/3/2020
SEQUESTRENE LIFE 138 FE,,Fisiopatie,,Kg,,,22/3/2020
VITA-MAR,,Fisiopatie,,Kg,,,22/3/2020
CLINIK ST,Glifosate 360 g/l,Infestanti,16787,l,,,22/3/2020
DIRIMAL,"Penoxsulam puro 0,12 g (1,4 g/L) Oryzalin puro 40,47 g (480 g /L)",Infestanti,16952,l,,,22/3/2020
MATSUDA 25 WG,Flazasulfuron  puro g 25 ,Infestanti,16474,N.,,,22/3/2020
ROUNDUP PLATINUM,"Glifosate acido puro 30,8 g (= 360 g/ l)",Infestanti,480G/L14737   ,l,,,22/3/2020
SHAMAL MK PLUS CL,"Glifosate acido puro 30,8 g (= 360 g/ l)",Infestanti,15405,l,,,22/3/2020
SPOTLIGHT PLUS,"Carfentrazone-etile puro g. 6,45 (= 60 g/L)",Infestanti,13466,l,,,22/3/2020
STOMP AQUA,"Pendimetanil, puro g 38,9 (= 455 g/l)",Infestanti,13093,l,,,22/3/2020
TESSIOR,"Boscalid puro  g 0,95 (10 g/L) Piraclostrobin puro g 0,48 (5 g/L)",Mal dell'esca,16789,l,,,22/3/2020
CIDELY,Cyflufenamid,Oidio,15449,l,"Mauro Sebaste - Albese - Tutti + CIDELY,Mauro Sebaste - Roncaglie - Tutti + CIDELY",,22/3/2020
